iteration,Accuracy,Precision,Recall,F1,AUC
0,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
1,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
2,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
3,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
4,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
5,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
6,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
7,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
8,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
9,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
10,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
11,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
12,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
13,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
14,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
15,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
16,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
17,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
18,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
19,0.49700598802395207,0.631712584944424,0.6737405322771176,0.4914212687277374,0.6737405322771176
